Name of study,Degree,Damage
Nordhaus 1994a,3.00,-1.33
Nordhaus 1994b,3.00,-3.60
Nordhaus 1994b,6.00,-10.40
Fankhauser 1995,2.50,-1.40
Tol 1995,2.50,-1.90
Nordhaus and Yang 1996,2.50,-1.70
Mendelsohn et al 2000a,2.20,0.03
Mendelsohn et al 2000a,2.20,0.07
Mendelsohn et al 2000b,2.00,0.08
Mendelsohn et al 2000b,3.50,0.01
Nordhaus and Boyer 2000,2.50,-1.50
Tol 2002,1.00,2.30
Maddison 2003,3.10,-2.22
Rehdanz and Maddison 2005,1.24,-0.34
Hope 2006,2.50,-0.58
Nordhaus 2006,3.00,-1.05
Nordhaus 2008,3.00,-2.49
Maddison and Rehdanz 2011,4.00,-17.80
Bosello et al. 2012,1.92,-0.50
Roson and van der Mensbrugghe 2012,3.10,-2.14
Roson and van der Mensbrugghe 2012,5.50,-6.05
Nordhaus 2013,3.00,-2.25